Player,Position,Still_in_league,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,agility,sprint
Andre Drummond,C,1,19,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10.83,3.39
Terrence Ross,SG,1,21,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,11.78,3.28
Nik Stauskas,SG,1,21,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,10.79,3.27
Kentavious Caldwell-Pope,SG,1,20,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,10.6,3.12
Brandon Knight,PG,1,20,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10.74,3.07
Al-Farouq Aminu,SF,1,20,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,11.29,3.3
Julius Randle,PF,1,20,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,11.45,3.27
Harrison Barnes,SF,1,20,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,10.93,3.16
Greg Monroe,C,1,20,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,12.1,3.35
Ben McLemore,SG,1,20,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,11.87,3.27
Ekpe Udoh,C,1,23,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,11.15,3.29
Marcus Smart,PG,1,20,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,10.82,3.26
Damian Lillard,PG,1,22,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,11.15,3.34
Thomas Robinson,PF,1,19,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,11.96,3.17
DeMarcus Cousins,C,1,20,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,11.4,3.55
Dante Exum,PG,1,19,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,10.75,3.19
Wesley Johnson,SG,1,21,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,11.43,3.14
Tristan Thompson,PF,1,20,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,10.92,3.26
Cody Zeller,C,1,21,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,10.82,3.15
Aaron Gordon,PF,1,19,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,10.81,3.27
Otto Porter,SF,1,22,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,11.25,3.4
Enes Kanter,C,1,19,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,11.3,3.26
Derrick Favors,PF,1,19,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,11.74,3.25
Bradley Beal,SG,1,19,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,10.95,3.28
Victor Oladipo,PG,1,23,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,10.69,3.25
Michael Kidd-Gilchrist,SF,1,22,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,11.77,3.18
Evan Turner,SG,1,22,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,11.06,3.27
Derrick Williams,PF,1,20,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,11.03,3.23
John Wall,PG,1,20,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,10.84,3.14
Phil Pressey,PG,0,22,61,69.5,71.5,74.25,92,38.5,130.5,33,125,177,4.7,7.75,9.75,10.86,3.13
