Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
Mike Scott,Virginia,2012,59,1,24,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,130,11.8,7.3,1,52.1,36.4,77.5,0,1,0,1,357
Kim English,Missouri,2012,12,0,24,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,141,11.1,3,1.4,42,39.4,72.7,1,0,0,1,41
Darius Miller,Kentucky,2012,1,1,22,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,152,8.2,3.2,1.8,44.8,37.9,81.5,0,1,0,1,184
Kevin Murphy,Tennessee Tech,2012,141,0,22,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,128,15.8,4.2,1.9,44.3,37.2,73.4,1,0,0,1,17
Kyle O'Quinn,Norfolk State,2012,117,1,22,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,129,12.5,8.5,0.9,55.3,26.1,68.5,0,0,1,1,398
Darius Johnson-Odom,Marquette,2012,9,0,23,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,105,15.7,3.1,2.5,44.4,40.3,72.2,1,0,0,1,7
Robbie Hummel,Purdue,2012,43,0,23,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,127,14,6.8,2.1,44.3,38.9,84.1,0,1,0,1,98
Henry Sims,Georgetown,2012,14,0,22,61,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,121,4.9,3.2,1.4,47.9,11.8,65.4,0,0,1,0,135
Kevin Jones,West Virginia,2012,61,0,23,61,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,139,13.1,7.5,1,49.4,31.5,67.7,0,1,0,0,32
Drew Gordon,New Mexico,2012,27,0,24,61,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,101,10,8,0.7,54.1,50,69,0,1,0,0,9
JaMychal Green,Alabama,2012,40,1,24,61,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,9.25,9.25,123,13.5,7.4,1.2,51.9,17.6,71.1,0,1,0,0,234
Scott Machado,Iona,2012,48,0,24,61,73,74,76,94.5,32.5,127,27,121.5,206,5.8,8.5,9.5,132,12.2,3.9,6.7,42.9,34.2,74,1,0,0,0,6
Tony Mitchell,Alabama,2012,40,0,22,61,77.25,78.25,82,100,40,140,31.5,131.5,216,5.7,8.5,10,89,12.7,6.7,1.2,49.3,30.1,63,0,1,0,0,3
Hollis Thompson,Georgetown,2012,14,1,22,61,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,99,8.7,4.1,1.1,47.8,44,67.6,0,1,0,0,265
Victor Oladipo,Indiana,2013,12,1,23,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,104,10.7,5.2,1.7,53.8,33.8,71.6,1,0,0,1,366
Otto Porter,Georgetown,2013,15,1,22,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,64,12.8,7.1,2.1,49.8,35.5,75.1,0,1,0,1,343
Cody Zeller,Indiana,2013,12,1,21,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,72,16.1,7.3,1.3,59.2,0,75.6,0,0,1,1,312
Ben McLemore,Kansas,2013,5,1,20,7,75.5,76.75,79.75,100.5,42,142.5,32.5,133,189,5,8.75,9.5,37,15.9,5.2,2,49.5,42,87,1,0,0,1,349
Kentavious Caldwell-Pope,Georgia,2013,143,1,20,8,76.5,77.5,80,100.5,34.5,135,29,129.5,204,6.5,8.5,9,64,15.8,6.1,1.5,41.5,33.9,75.2,1,0,0,1,388
Trey Burke,Michigan,2013,11,1,20,9,71.75,73.25,77.5,97.5,36.5,134,29.5,127,187,6.9,8.25,8.75,73,16.9,3.3,5.7,45,36.7,77.7,1,0,0,1,303
C.J. McCollum,Lehigh,2013,107,1,22,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,111,21.3,6.3,2.7,43.9,37.7,82.5,1,0,0,1,341
Michael Carter-Williams,Syracuse,2013,10,1,24,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,66,8.2,3.6,5.2,39.8,30.7,67.9,1,0,0,1,287
Steven Adams,Pittsburgh,2013,46,1,23,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,32,7.2,6.3,0.6,57.1,0,44.3,0,0,1,1,387
